2025-04-09 02:39:39,247 p=42009 u=root n=ansible | Encryption successful
2025-04-09 04:15:50,443 p=56807 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:15:50,464 p=56807 u=root n=ansible | TASK [splunk : Remove UFW ports] ****************************************************************************************************************************************************
2025-04-09 04:15:50,532 p=56807 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:15:50,567 p=56807 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:15:50,569 p=56807 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:15:50,594 p=56807 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:15:50,615 p=56807 u=root n=ansible | TASK [splunk : Remove setfacl to logrotate script] **********************************************************************************************************************************
2025-04-09 04:15:51,037 p=56807 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:15:51,048 p=56807 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:15:51,050 p=56807 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:15:51,053 p=56807 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:15:51,075 p=56807 u=root n=ansible | TASK [splunk : Check if auditd.conf is present] *************************************************************************************************************************************
2025-04-09 04:15:51,416 p=56807 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:15:51,433 p=56807 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:15:51,477 p=56807 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:15:51,514 p=56807 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:15:51,535 p=56807 u=root n=ansible | TASK [splunk : Remove line from /var/log/audit.log] *********************************************************************************************************************************
2025-04-09 04:15:51,999 p=56807 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:15:52,009 p=56807 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:15:52,011 p=56807 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:15:52,013 p=56807 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:15:52,016 p=56807 u=root n=ansible | PLAY RECAP **************************************************************************************************************************************************************************
2025-04-09 04:15:52,017 p=56807 u=root n=ansible | rh8-ds-1                   : ok=26   changed=0    unreachable=0    failed=0    skipped=12   rescued=0    ignored=9   
2025-04-09 04:15:52,017 p=56807 u=root n=ansible | rh8-idx-1                  : ok=23   changed=0    unreachable=0    failed=0    skipped=12   rescued=0    ignored=9   
2025-04-09 04:15:52,017 p=56807 u=root n=ansible | rh8-idx-2                  : ok=23   changed=0    unreachable=0    failed=0    skipped=12   rescued=0    ignored=9   
2025-04-09 04:15:52,018 p=56807 u=root n=ansible | rh8-sh-1                   : ok=23   changed=0    unreachable=0    failed=0    skipped=12   rescued=0    ignored=9   
2025-04-09 04:16:20,136 p=57375 u=root n=ansible | PLAY [Remove Splunk Installation Playbook] ******************************************************************************************************************************************
2025-04-09 04:16:20,176 p=57375 u=root n=ansible | TASK [Warning 1: This will completely remove Splunk from the target systems.] *******************************************************************************************************
2025-04-09 04:16:20,196 p=57403 u=root n=ansible | [Warning 1: This will completely remove Splunk from the target systems.]
WARNING 1: Are you sure you want to proceed? (yes/no):
2025-04-09 04:16:21,830 p=57375 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:16:21,851 p=57375 u=root n=ansible | TASK [Warning 2: All Splunk data and configurations will be deleted.] ***************************************************************************************************************
2025-04-09 04:16:21,870 p=57416 u=root n=ansible | [Warning 2: All Splunk data and configurations will be deleted.]
WARNING 2: Do you understand the implications? (yes/no):
2025-04-09 04:16:22,053 p=57375 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:16:22,073 p=57375 u=root n=ansible | TASK [Warning 3: This action is irreversible. Proceed with caution.] ****************************************************************************************************************
2025-04-09 04:16:22,092 p=57418 u=root n=ansible | [Warning 3: This action is irreversible. Proceed with caution.]
WARNING 3: Confirm to continue with the uninstallation. (yes/no):
2025-04-09 04:16:22,230 p=57375 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:16:22,258 p=57375 u=root n=ansible | TASK [Remove Splunk] ****************************************************************************************************************************************************************
2025-04-09 04:16:22,652 p=57375 u=root n=ansible | TASK [splunk : Include prerequisites] ***********************************************************************************************************************************************
2025-04-09 04:16:22,839 p=57375 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/prereqs.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 04:16:22,872 p=57375 u=root n=ansible | TASK [splunk : install acl package] *************************************************************************************************************************************************
2025-04-09 04:16:33,923 p=57375 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:16:34,422 p=57375 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:16:34,478 p=57375 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:16:34,532 p=57375 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:16:34,554 p=57375 u=root n=ansible | TASK [Reset value of start_splunk_handler_fired and configure_boot_start] ***********************************************************************************************************
2025-04-09 04:16:34,590 p=57375 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:16:34,622 p=57375 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:16:34,653 p=57375 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:16:34,670 p=57375 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:16:34,691 p=57375 u=root n=ansible | TASK [splunk : Set boot-start method to systemd] ************************************************************************************************************************************
2025-04-09 04:16:34,760 p=57375 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:16:34,793 p=57375 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:16:34,810 p=57375 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:16:34,843 p=57375 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:16:34,863 p=57375 u=root n=ansible | TASK [splunk : Set boot-start method to initd] **************************************************************************************************************************************
2025-04-09 04:16:34,898 p=57375 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:16:34,929 p=57375 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:16:34,959 p=57375 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:16:34,967 p=57375 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:16:35,013 p=57375 u=root n=ansible | TASK [splunk : Configure vars for full package] *************************************************************************************************************************************
2025-04-09 04:16:35,113 p=57375 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:16:35,116 p=57375 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:16:35,138 p=57375 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:16:35,170 p=57375 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:16:35,192 p=57375 u=root n=ansible | TASK [Configure var for splunk systemd service handler] *****************************************************************************************************************************
2025-04-09 04:16:35,261 p=57375 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:16:35,295 p=57375 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:16:35,314 p=57375 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:16:35,349 p=57375 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:16:35,370 p=57375 u=root n=ansible | TASK [splunk : Configure vars for uf package] ***************************************************************************************************************************************
2025-04-09 04:16:35,436 p=57375 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:16:35,472 p=57375 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:16:35,480 p=57375 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:16:35,515 p=57375 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:16:35,536 p=57375 u=root n=ansible | TASK [splunk : Setting least priviledged mode] **************************************************************************************************************************************
2025-04-09 04:16:35,604 p=57375 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:16:35,636 p=57375 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:16:35,646 p=57375 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:16:35,681 p=57375 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:16:35,704 p=57375 u=root n=ansible | TASK [Configure var for splunkforwarder systemd service handler] ********************************************************************************************************************
2025-04-09 04:16:35,773 p=57375 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:16:35,805 p=57375 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:16:35,815 p=57375 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:16:35,849 p=57375 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:16:35,869 p=57375 u=root n=ansible | TASK [Configure var for splunk init.d service handler] ******************************************************************************************************************************
2025-04-09 04:16:35,938 p=57375 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:16:35,972 p=57375 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:16:35,981 p=57375 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:16:36,015 p=57375 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:16:36,036 p=57375 u=root n=ansible | TASK [splunk : Check if Splunk is installed] ****************************************************************************************************************************************
2025-04-09 04:16:36,511 p=57375 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 04:16:36,519 p=57375 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 04:16:36,520 p=57375 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 04:16:36,522 p=57375 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 04:16:36,544 p=57375 u=root n=ansible | TASK [splunk : Check if active boot-start configuration is systemd] *****************************************************************************************************************
2025-04-09 04:16:36,613 p=57375 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:16:36,647 p=57375 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:16:36,653 p=57375 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:16:36,688 p=57375 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:16:36,709 p=57375 u=root n=ansible | TASK [Set current_start_method var to systemd if systemd is being used for splunk] **************************************************************************************************
2025-04-09 04:16:36,780 p=57375 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:16:36,813 p=57375 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:16:36,821 p=57375 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:16:36,855 p=57375 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:16:36,877 p=57375 u=root n=ansible | TASK [splunk : Check if active boot-start method is init.d] *************************************************************************************************************************
2025-04-09 04:16:36,944 p=57375 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:16:36,977 p=57375 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:16:36,989 p=57375 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:16:37,022 p=57375 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:16:37,042 p=57375 u=root n=ansible | TASK [Set current_start_method to initd if initd is being used for splunk] **********************************************************************************************************
2025-04-09 04:16:37,112 p=57375 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 04:16:37,145 p=57375 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 04:16:37,154 p=57375 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 04:16:37,189 p=57375 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 04:16:37,210 p=57375 u=root n=ansible | TASK [splunk : set current_start_method to disabled if boot-start is disabled] ******************************************************************************************************
